Image burst: T+11.4s → T+151.5s  (30574 writes, 567KB approx)
T+    12.5s [W←cam] fd80
T+    12.5s [W→cam] f036000237042b980d0101010102230101022301010cda02200a1e0a140a1209
T+    12.6s [W←cam] fdc0000211010498b313020d010101010101039ad700
T+    12.6s [W←cam] fdc1000222042c8e0d01010101020e0101020e010107da020b12090802100818
T+    12.6s [W→cam] <REDACTED_ID>
T+    12.6s [W→cam] f0b700021101048eb413020d01010101010103495400
T+    12.6s [W←cam] <REDACTED_ID>
T+    12.6s [W→cam] d0000000a6010000
T+    12.7s [W←cam] fe00
T+    12.7s [W←cam] d040000000
T+    12.7s [W→cam] d040
T+    12.7s [W←cam] d04138cb94905f4f833014c5bf4ad367e1162a0b2ea54b8cd1986cc604677cad
T+    12.7s [W←cam] d042e716067f373c379c16242fc9aa282983a9647bdb39f9c57ff8a4c2d60661
T+    12.7s [W←cam] d043da302ffb81f545d7da7b26e794a84f7f89d19c0c0d50202669e62cb942d6
T+    12.7s [W←cam] d04443cec190fb5f05120c39b3c092299bc7faf837eb94f41938fd8affa2fcbf
T+    12.7s [W→cam] d140
T+    12.8s [W←cam] d045a042287c15218781e6e7fd9e87b74f086d8a570f1218e42a06069963c212
T+    12.8s [W←cam] d046175114bc296adf7d7280ab303f328d4df91eed274cf9a8ceb42927754fd5
T+    12.8s [W←cam] d0471820348519d82c19068b84e2106c98848c61df326148960a19a669125775
T+    12.8s [W←cam] d048b2c664942ddac50b2f209c7cfebeef7038578005a1816895065bf8d07749
T+    12.8s [W←cam] d049c8857da81be07da2a157db1f8acdeab2ba32c547e96da60c5d102bc17ff2
T+    12.8s [W←cam] d04ad9f2580c1603939d4d0e028ca9e3430f816e7ed376b4237e44b0856f3f6c
